year,month,day,hour,is_weekends,temp,rhum,wc,total
2022,5,1,0,True,16.8,41.0,Cloudy,256
2022,5,1,1,True,16.8,40.0,Cloudy,153
2022,5,1,2,True,14.0,42.0,Cloudy,127
2022,5,1,3,True,12.9,47.0,Cloudy,66
2022,5,1,4,True,12.4,51.0,Cloudy,14
2022,5,1,5,True,12.9,53.0,Cloudy,44
2022,5,1,6,True,12.9,57.0,Cloudy,120
2022,5,1,7,True,12.9,60.0,Cloudy,165
2022,5,1,8,True,12.4,62.0,Cloudy,338
2022,5,1,9,True,11.8,69.0,Cloudy,496
2022,5,1,10,True,11.8,72.0,Overcast,721
2022,5,1,11,True,12.4,74.0,Overcast,792
2022,5,1,12,True,12.9,72.0,Overcast,929
2022,5,1,13,True,14.0,67.0,Overcast,878
2022,5,1,14,True,14.6,67.0,Overcast,307
2022,5,1,15,True,15.7,65.0,Overcast,301
2022,5,1,16,True,17.4,56.0,Overcast,401
2022,5,1,17,True,17.9,54.0,Overcast,485
2022,5,1,18,True,18.5,52.0,Overcast,476
2022,5,1,19,True,15.7,78.0,Overcast,450
2022,5,1,20,True,15.7,78.0,Overcast,301
2022,5,1,21,True,14.6,78.0,Overcast,201
2022,5,1,22,True,15.7,72.0,Overcast,186
2022,5,1,23,True,15.7,67.0,Overcast,180
2022,5,2,0,False,14.6,78.0,Overcast,92
2022,5,2,1,False,14.0,81.0,Overcast,30
2022,5,2,2,False,13.5,81.0,Overcast,13
2022,5,2,3,False,13.5,81.0,Overcast,18
2022,5,2,4,False,13.5,81.0,Overcast,18
2022,5,2,5,False,13.5,81.0,Overcast,63
2022,5,2,6,False,13.5,81.0,Overcast,191
2022,5,2,7,False,13.5,81.0,Overcast,429
2022,5,2,8,False,13.5,77.0,Overcast,713
2022,5,2,9,False,12.9,80.0,Overcast,503
2022,5,2,10,False,12.9,80.0,Overcast,422
2022,5,2,11,False,12.4,83.0,Overcast,481
2022,5,2,12,False,14.6,72.0,Overcast,587
2022,5,2,13,False,15.7,72.0,Overcast,560
2022,5,2,14,False,16.3,70.0,Overcast,609
2022,5,2,15,False,19.0,66.0,Cloudy,719
2022,5,2,16,False,21.8,57.0,Cloudy,912
2022,5,2,17,False,24.0,39.0,Cloudy,1252
2022,5,2,18,False,24.6,36.0,Cloudy,1205
2022,5,2,19,False,24.0,37.0,Cloudy,963
2022,5,2,20,False,24.6,40.0,Cloudy,604
2022,5,2,21,False,25.2,36.0,Cloudy,467
2022,5,2,22,False,25.7,36.0,Fair,295
2022,5,2,23,False,24.6,40.0,Fair,195
2022,5,3,0,False,24.0,40.0,Fair,89
2022,5,3,1,False,21.3,51.0,Fair,69
2022,5,3,2,False,20.7,49.0,Fair,24
2022,5,3,3,False,19.6,51.0,Fair,11
2022,5,3,4,False,17.9,70.0,Fair,15
2022,5,3,5,False,16.3,78.0,Fair,92
2022,5,3,6,False,15.7,81.0,Fair,212
2022,5,3,7,False,16.3,67.0,Fair,505
2022,5,3,8,False,15.7,70.0,Cloudy,875
2022,5,3,9,False,14.6,78.0,Fog,568
2022,5,3,10,False,14.6,87.0,Fog,390
2022,5,3,11,False,14.6,90.0,Fog,405
2022,5,3,12,False,14.0,90.0,Fog,507
2022,5,3,13,False,14.0,90.0,Fog,520
2022,5,3,14,False,14.6,83.0,Fog,535
2022,5,3,15,False,15.2,80.0,Fog,629
2022,5,3,16,False,15.7,78.0,Overcast,866
2022,5,3,17,False,17.4,73.0,Overcast,1462
2022,5,3,18,False,19.0,66.0,Overcast,1345
2022,5,3,19,False,21.3,61.0,Overcast,1061
2022,5,3,20,False,22.4,59.0,Overcast,709
2022,5,3,21,False,22.9,56.0,Cloudy,465
2022,5,3,22,False,22.4,55.0,Overcast,308
2022,5,3,23,False,21.8,57.0,Overcast,147
2022,5,4,0,False,20.2,63.0,Overcast,75
2022,5,4,1,False,18.5,70.0,Overcast,7
2022,5,4,2,False,17.4,73.0,Overcast,5
2022,5,4,3,False,15.7,84.0,Overcast,7
2022,5,4,4,False,14.6,87.0,Overcast,7
2022,5,4,5,False,14.0,90.0,Overcast,52
2022,5,4,6,False,13.5,90.0,Light Rain,206
